Icterus croconotus
Streptoprocne zonaris
Myrmotherula brachyura
Hemitriccus nidipendulus
Hypocnemis cantator
Picumnus lafresnayi
Herpsilochmus atricapillus
Sporophila luctuosa
Amblycercus holosericeus
Antrostomus sericocaudatus
Penelope perspicax
Tapera naevia
Euphonia rufiventris
Phaethornis striigularis
Thamnophilus multistriatus
Sittasomus griseicapillus
Psittacara leucophthalmus
Cranioleuca pallida
Carpornis cucullata
Saltator coerulescens
Myiozetetes granadensis
Neopipo cinnamomea
Scytalopus rodriguezi
Drymophila striaticeps
Orchesticus abeillei
Amazona mercenarius
Myrmotherula surinamensis
Micropygia schomburgkii
Hoploxypterus cayanus
Psittacara wagleri
Amazona festiva
Crax alberti
Campylorhamphus procurvoides
Crotophaga major
Camptostoma obsoletum
Milvago chimachima
Thamnophilus amazonicus
Pionus maximiliani
Megascops atricapilla
Tangara cyanoptera
Arremon brunneinucha
Poecilotriccus sylvia
Mesembrinibis cayennensis
Sicalis luteola
Amazona ochrocephala
Herpsilochmus rufimarginatus
Cyanolyca pulchra
Formicarius colma
Tangara chilensis
Dendrocolaptes sanctithomae
Notiochelidon flavipes
Macroagelaius subalaris
Percnostola rufifrons
Myrmotherula schisticolor
Myrmeciza pelzelni
Xenops rutilans
Touit huetii
Turdus lawrencii
Myiothlypis conspicillata
Tringa flavipes
Heliornis fulica
Sayornis nigricans
Graydidascalus brachyurus
Penelope montagnii
Odontophorus strophium
Deconychura stictolaema
Pheugopedius fasciatoventris
Cantorchilus guarayanus
Rhegmatorhina gymnops
Crax fasciolata
Pseudotriccus ruficeps
Myrmeciza loricata
Herpsilochmus stictocephalus
Percnostola lophotes
Trogon rufus
Phrygilus plebejus
Amazonetta brasiliensis
Celeus flavus
Synallaxis cinnamomea
Pheugopedius coraya
Scytalopus griseicollis
Butorides striata
Piaya melanogaster
Attila phoenicurus
Poecilotriccus albifacies
Chiroxiphia caudata
Buteo platypterus
Jacana jacana
Brachygalba lugubris
Brotogeris sanctithomae
Megarynchus pitangua
Tangara cyanicollis
Ramphodon naevius
Conopias parvus
Myiornis ecaudatus
Pharomachrus fulgidus
Amazilia franciae
Arremon franciscanus
Hylophilus poicilotis
Zimmerius acer
Megascops watsonii
Hypoedaleus guttatus
Simoxenops ucayalae
Heterocercus aurantiivertex
Cacicus uropygialis
Harpia harpyja
Cercomacra cinerascens
Cercomacra tyrannina
Electron platyrhynchum
Myiothlypis nigrocristata
Saltator maximus
Gymnomystax mexicanus
Atalotriccus pilaris
Ilicura militaris
Ramphastos sulfuratus
Cymbilaimus sanctaemariae
Coccyzus euleri
Conirostrum bicolor
Myrmotherula sclateri
Serpophaga hypoleuca
Aulacorhynchus derbianus
Oxyruncus cristatus
Clibanornis dendrocolaptoides
Amblyramphus holosericeus
Notiochelidon cyanoleuca
Leptasthenura setaria
Pharomachrus antisianus
Ammodramus aurifrons
Diglossa lafresnayii
Synallaxis hypospodia
Mionectes olivaceus
Phacellodomus erythrophthalmus
Paroaria dominicana
Stephanoxis lalandi
Ramphocelus nigrogularis
Dendrocolaptes picumnus
Phylloscartes ventralis
Phaethornis griseogularis
Xiphorhynchus spixii
Cantorchilus leucotis
Pachyramphus viridis
Heliobletus contaminatus
Cercomacra parkeri
Megascops ingens
Sporophila leucoptera
Pheucticus chrysogaster
Myrmeciza longipes
Thryophilus nicefori
Andigena nigrirostris
Grallaria ruficapilla
Philydor ruficaudatum
Mimus gilvus
Dendroplex picus
Frederickena viridis
Thryophilus rufalbus
Dendrocincla fuliginosa
Piculus chrysochloros
Myiodynastes chrysocephalus
Rhynchotus rufescens
Capsiempis flaveola
Pionus sordidus
Herpsilochmus sellowi
Thripadectes virgaticeps
Drymophila rubricollis
Habia rubica
Vireo leucophrys
Hylophilus flavipes
Cyanocorax violaceus
Haplospiza unicolor
Glaucis hirsutus
Pachyramphus marginatus
Psarocolius decumanus
Philydor erythropterum
Micrastur semitorquatus
Threnetes leucurus
Pachyramphus xanthogenys
Strix huhula
Myrmotherula unicolor
Trogon surrucura
Spinus xanthogastra
Pyrrhura perlata
Pardirallus nigricans
Amazilia tzacatl
Tinamus guttatus
Rupicola rupicola
Synallaxis cinerascens
Amazona aestiva
Fluvicola pica
Galbalcyrhynchus leucotis
Crypturellus atrocapillus
Monasa morphoeus
Forpus conspicillatus
Drymophila ochropyga
Celeus elegans
Rallus semiplumbeus
Philohydor lictor
Scytalopus novacapitalis
Myiophobus fasciatus
Ornithion inerme
Amazona vinacea
Tachyphonus luctuosus
Hypocnemis peruviana
Sporophila frontalis
Cyanocorax cyanomelas
Todirostrum cinereum
Nyctibius grandis
Tolmomyias poliocephalus
Pyrrhura rupicola
Pithys albifrons
Hypocnemis striata
Parkesia noveboracensis
Anas georgica
Phalacrocorax brasilianus
Berlepschia rikeri
Galbula albirostris
Sakesphorus canadensis
Anabazenops dorsalis
Aramides saracura
Ramphastos toco
Chloroceryle aenea
Acropternis orthonyx
Ortalis motmot
Pulsatrix koeniswaldiana
Leptodon cayanensis
Malacoptila mystacalis
Isleria guttata
Tachyphonus surinamus
Tangara mexicana
Spinus psaltria
Atlapetes flaviceps
Turdus olivater
Laterallus melanophaius
Crax alector
Thamnophilus atrinucha
Sclerurus mexicanus
Tangara xanthocephala
Pipreola riefferii
Turdus ignobilis
Taraba major
Catharus ustulatus
Coeligena coeligena
Ochthoeca cinnamomeiventris
Hemispingus superciliaris
Epinecrophylla ornata
Nyctibius bracteatus
Anumbius annumbi
Grallaria kaestneri
Glaucidium hardyi
Aburria aburri
Nyctibius aethereus
Formicarius analis
Henicorhina negreti
Myrmoborus myotherinus
Ardea alba
Leucopternis kuhli
Ramphotrigon megacephalum
Veniliornis passerinus
Picumnus exilis
Chordeiles acutipennis
Sublegatus obscurior
Oryzoborus angolensis
Crotophaga sulcirostris
Daptrius ater
Crypturellus tataupa
Colaptes rupicola
Tijuca atra
Ramphastos brevis
Laniocera rufescens
Legatus leucophaius
Crypturellus strigulosus
Tangara schrankii
Hylophilus semicinereus
Sternula superciliaris
Chamaeza campanisona
Steatornis caripensis
Geranospiza caerulescens
Charitospiza eucosma
Pachyramphus minor
Tangara heinei
Phyllomyias virescens
Chamaepetes goudotii
Euphonia violacea
Aeronautes montivagus
Rupicola peruvianus
Synallaxis kollari
Uropsalis segmentata
Picoides fumigatus
Basileuterus culicivorus
Mackenziaena severa
Trogon collaris
Myrmeciza atrothorax
Coryphospingus cucullatus
Primolius couloni
Crypturellus soui
Platyrinchus mystaceus
Elaenia cristata
Pachyramphus rufus
Myiothlypis coronata
Procnias nudicollis
Myrmotherula longicauda
Dysithamnus stictothorax
Hylocryptus rectirostris
Pionus menstruus
Eucometis penicillata
Saltator atricollis
Elaenia flavogaster
Lepidocolaptes albolineatus
Harpagus bidentatus
Henicorhina leucophrys
Piranga leucoptera
Certhiaxis cinnamomeus
Dacnis hartlaubi
Pseudocolaptes boissonneautii
Pteroglossus pluricinctus
Piculus leucolaemus
Melanerpes flavifrons
Suiriri suiriri
Tachyphonus rufus
Arremon taciturnus
Thamnophilus ambiguus
Coccycua minuta
Drymophila genei
Strix virgata
Thamnophilus nigrocinereus
Nasica longirostris
Galbula dea
Buthraupis montana
Leptosittaca branickii
Piprites chloris
Thamnomanes schistogynus
Porphyrio martinicus
Tangara velia
Conopophaga aurita
Setophaga fusca
Asio flammeus
Dacnis cayana
Synallaxis scutata
Scytalopus speluncae
Anisognathus igniventris
Campephilus melanoleucos
Picumnus temminckii
Thamnophilus unicolor
Myrmothera simplex
Thalasseus maximus
Thectocercus acuticaudatus
Hylophylax punctulatus
Molothrus bonariensis
